"Povr?ina, ?tevilo vinogradov in ?tevilo sadik po: VINORODNA DE?ELA IN"
"OKOLI?, VELIKOSTNI RAZREDI, LETO , MERITVE"

" ";" ";"2009";" ";" ";"2015";" ";" "
" ";" ";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)"
"SLOVENIJA"
" ";"2 do < 3 ha";188.6;80;656.9;184.6;77;718.6
" ";"3 do < 5 ha";117.2;32;423.5;112.8;30;427.8
" ";"5 do < 10 ha";41.5;6;162.8;37.3;6;143.9
" ";"10 do < 20 ha";-;-;-;-;-;-
" ";"20 do < 30 ha";-;-;-;-;-;-
" ";">= 30 ha";-;-;-;-;-;-
"Primorje- Kras"
" ";"SKUPAJ";593.0;2145;1812.7;575.2;2249;1822.6
" ";"< 0,05 ha";3.2;88;9.2;z;124;z
" ";"0,05 do < 0,10 ha";z;305;64.5;28.1;369;80.0
" ";"0,10 do < 0,20 ha";110.8;769;313.0;119.4;822;350.0
" ";"0,20 do < 0,30 ha";95.6;397;281.0;95.1;394;282.1
" ";"0,30 do < 0,50 ha";125.5;332;378.0;113.7;302;356.5
" ";"0,50 do < 1 ha";128.6;197;407.8;120.1;185;392.2
" ";"1 do < 2 ha";63.0;49;z;55.4;44;194.3
" ";"2 do < 3 ha";7.4;3;20.1;11.7;5;38.3
" ";"3 do < 5 ha";10.0;z;36.8;z;z;z
" ";"5 do < 10 ha";-;-;-;z;z;z
" ";"10 do < 20 ha";z;z;z;z;z;z
" ";"20 do < 30 ha";-;-;-;-;-;-
" ";">= 30 ha";-;-;-;-;-;-
"Primorje- Vipavska dolina (Vipava)"
" ";"SKUPAJ";2526.3;4628;7971.6;2244.7;4613;7551.3
" ";"< 0,05 ha";3.8;98;z;z;246;z
" ";"0,05 do < 0,10 ha";27.9;364;93.6;51.2;658;163.7
" ";"0,10 do < 0,20 ha";144.7;977;448.7;141.5;962;447.1
" ";"0,20 do < 0,30 ha";188.3;760;598.1;176.8;715;581.8
" ";"0,30 do < 0,50 ha";387.4;993;1246.4;318.0;817;1077.6
" ";"0,50 do < 1 ha";673.5;967;2202.0;543.9;781;1913.4
" ";"1 do < 2 ha";469.2;358;z;425.7;321;1569.6
" ";"2 do < 3 ha";157.6;68;521.5;149.3;64;552.6
" ";"3 do < 5 ha";95.5;z;360.8;z;z;z
" ";"5 do < 10 ha";65.7;z;228.3;z;z;z
" ";"10 do < 20 ha";z;z;z;z;z;z
" ";"20 do < 30 ha";z;z;z;z;z;z
" ";">= 30 ha";z;z;z;z;z;z
"Izven vinorodnih okoli?ev"
" ";"SKUPAJ";22.0;193;95.7;25.6;254;102.3
" ";"< 0,05 ha";z;20;z;z;44;z
" ";"0,05 do < 0,10 ha";6.9;90;31.9;9.8;131;41.4
" ";"0,10 do < 0,20 ha";9.4;69;42.1;9.1;65;36.3
" ";"0,20 do < 0,30 ha";2.4;10;8.1;2.1;9;7.3
" ";"0,30 do < 0,50 ha";1.0;z;3.5;1.1;z;4.0
" ";"0,50 do < 1 ha";-;-;-;z;z;z
" ";"1 do < 2 ha";z;z;z;z;z;z
" ";"2 do < 3 ha";-;-;-;-;-;-
" ";"3 do < 5 ha";-;-;-;-;-;-
" ";"5 do < 10 ha";-;-;-;-;-;-
" ";"10 do < 20 ha";-;-;-;-;-;-
" ";"20 do < 30 ha";-;-;-;-;-;-
" ";">= 30 ha";-;-;-;-;-;-
